POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
77,"Rahul Tewatia
GT",14,9,6,84,20*,28.00,52,161.53,0,0,3,7
78,"Riyan Parag
RR",7,7,1,78,20,13.00,66,118.18,0,0,4,5
79,"Harpreet Bhatia
PBKS",3,3,0,77,41,25.67,59,130.50,0,0,8,3
80,"Bhanuka Rajapaksa
PBKS",4,4,1,71,50,23.67,62,114.51,0,1,6,2
81,"Vivrant Sharma
SRH",3,1,0,69,69,69.00,47,146.80,0,1,9,2
82,"Deepak Hooda
LSG",11,11,1,69,17,6.90,77,89.61,0,0,3,1
83,"Ravichandran Ashwin
RR",13,10,4,67,30,11.17,51,131.37,0,0,5,3
84,"Lalit Yadav
DC",6,6,1,66,38,13.20,59,111.86,0,0,8,0
85,"Washington Sundar
SRH",7,5,1,60,24*,15.00,60,100.00,0,0,6,0
86,"Krishnappa Gowtham
LSG",6,6,3,59,23,19.67,34,173.52,0,0,2,5
